business_date,location_code,role,hours,wages
2024-01-01,CW-WV,Manager,10.0,330.00
2024-01-01,CW-WV,Line Cook,28.0,686.00
2024-01-01,CW-WV,Prep Cook,14.2,305.30
2024-01-01,CW-WV,Server,37.8,661.50
2024-01-01,CW-WV,Busser,10.5,178.50
2024-01-01,CW-WV,Bartender,10.2,204.00
2024-01-01,CW-WV,dishwasher,10.5,178.50
2024-01-02,CW-WV,Manager,12.2,402.60
2024-01-02,CW-WV,Line Cook,34.0,833.00
2024-01-02,CW-WV,Prep Cook,17.2,369.80
2024-01-02,CW-WV,Server,45.8,801.50
2024-01-02,CW-WV,Busser,12.7,215.90
2024-01-02,CW-WV,Bartender,12.3,246.00
2024-01-02,CW-WV,Dishwasher,12.7,215.90
2024-01-03,CW-WV,Manager,13.0,429.00
2024-01-03,CW-WV,Line Cook,36.5,894.25
2024-01-03,CW-WV,Prep Cook,18.5,397.75
2024-01-03,CW-WV,Server,49.2,861.00
2024-01-03,CW-WV,Busser,13.6,231.20
2024-01-03,CW-WV,Bartender,13.2,264.00
2024-01-03,CW-WV,Dishwasher,13.6,231.20
2024-01-04,CW-WV,Manager,12.2,402.60
2024-01-04,CW-WV,Line Cook,34.1,835.45
2024-01-04,CW-WV,Prep Cook,17.3,371.95
2024-01-04,CW-WV,Server,45.9,803.25
2024-01-04,CW-WV,Busser,12.7,215.90
2024-01-04,CW-WV,Bartender,12.4,248.00
2024-01-04,CW-WV,Dishwasher,12.7,215.90
2024-01-05,CW-WV,Manager,11.5,379.50
2024-01-05,CW-WV,Line Cook,32.1,786.45
2024-01-05,CW-WV,Prep Cook,16.3,350.45
2024-01-05,CW-WV,SERVER,43.3,757.75
2024-01-05,CW-WV,Busser,12.0,204.00
2024-01-05,CW-WV,Bartender,11.7,234.00
2024-01-05,CW-WV,Dishwasher,12.0,204.00
2024-01-06,CW-WV,Manager,20.3,669.90
2024-01-06,CW-WV,Line Cook,56.7,1389.15
2024-01-06,CW-WV,Prep Cook,28.7,617.05
2024-01-06,CW-WV,Server,76.4,1337.00
2024-01-06,CW-WV,Busser,21.2,360.40
2024-01-06,CW-WV,Bartender,20.6,412.00
2024-01-06,CW-WV,Dishwasher,21.2,360.40
2024-01-07,CW-WV,Manager,21.8,719.40
2024-01-07,CW-WV,Line Cook,60.9,1492.05
2024-01-07,CW-WV,Prep Cook,30.8,662.20
2024-01-07,CW-WV,Server,82.1,1436.75
2024-01-07,CW-WV,Busser,22.8,387.60
2024-01-07,CW-WV,Bartender,22.1,442.00
2024-01-07,CW-WV,Dishwasher,22.8,387.60
2024-01-08,CW-WV,Manager,12.9,425.70
2024-01-08,CW-WV,Line Cook,36.2,886.90
2024-01-08,CW-WV,PREP COOK,18.3,393.45
2024-01-08,CW-WV,Server,48.8,854.00
2024-01-08,CW-WV,busser,13.5,229.50
2024-01-08,CW-WV,Bartender,13.1,262.00
2024-01-08,CW-WV,Dishwasher,13.5,229.50
2024-01-09,CW-WV,Manager,13.0,429.00
2024-01-09,CW-WV,Line Cook,36.3,889.35
2024-01-09,CW-WV,Prep Cook,18.4,395.60
2024-01-09,CW-WV,Server,48.9,855.75
2024-01-09,CW-WV,Busser,13.6,231.20
2024-01-09,CW-WV,Bartender,13.2,264.00
2024-01-09,CW-WV,Dishwasher,13.6,231.20
2024-01-10,CW-WV,Manager,12.5,412.50
2024-01-10,CW-WV,Line Cook,35.1,859.95
2024-01-10,CW-WV,Prep Cook,17.8,382.70
2024-01-10,CW-WV,Server,47.3,827.75
2024-01-10,CW-WV,Busser,13.1,222.70
2024-01-10,CW-WV,Bartender,12.7,254.00
2024-01-10,CW-WV,Dishwasher,13.1,222.70
2024-01-11,CW-WV,Manager,14.1,465.30
2024-01-11,CW-WV,Line Cook,39.6,970.20
2024-01-11,CW-WV,Prep Cook,20.0,430.00
2024-01-11,CW-WV,Server,53.4,934.50
2024-01-11,CW-WV,Busser,14.8,251.60
2024-01-11,CW-WV,Bartender,14.4,288.00
2024-01-11,CW-WV,Dishwasher,14.8,251.60
2024-01-12,CW-WV,Manager,12.7,419.10
2024-01-12,CW-WV,Line Cook,35.5,869.75
2024-01-12,CW-WV,Prep Cook,18.0,387.00
2024-01-12,CW-WV,Server,47.8,836.50
2024-01-12,CW-WV,Busser,13.3,226.10
2024-01-12,CW-WV,Bartender,12.9,258.00
2024-01-12,CW-WV,Dishwasher,13.3,226.10
2024-01-13,CW-WV,Manager,22.1,729.30
2024-01-13,CW-WV,Line Cook,61.8,1514.10
2024-01-13,CW-WV,Prep Cook,31.3,672.95
2024-01-13,CW-WV,Server,83.4,1459.50
2024-01-13,CW-WV,Busser,23.1,392.70
2024-01-13,CW-WV,Bartender,22.4,448.00
2024-01-13,CW-WV,Dishwasher,23.1,392.70
2024-01-14,CW-WV,Manager,20.7,683.10
2024-01-14,CW-WV,Line Cook,57.9,1418.55
2024-01-14,CW-WV,Prep Cook,29.3,629.95
2024-01-14,CW-WV,Server ,78.0,1365.00
2024-01-14,CW-WV,Busser,21.6,367.20
2024-01-14,CW-WV,Bartender,21.0,420.00
2024-01-14,CW-WV,Dishwasher,21.6,367.20
2024-01-15,CW-WV,Manager,12.7,419.10
2024-01-15,CW-WV,Line Cook,35.6,872.20
2024-01-15,CW-WV,Prep Cook,18.0,387.00
2024-01-15,CW-WV,Server,48.0,840.00
2024-01-15,CW-WV,Busser,13.3,226.10
2024-01-15,CW-WV,Bartender,12.9,258.00
2024-01-15,CW-WV,Dishwasher,13.3,226.10
2024-01-16,CW-WV,Manager,13.8,455.40
2024-01-16,CW-WV,Line Cook,38.5,943.25
2024-01-16,CW-WV,Prep Cook,19.5,419.25
2024-01-16,CW-WV,Server,51.9,908.25
2024-01-16,CW-WV,Busser,14.4,244.80
2024-01-16,CW-WV,Bartender,14.0,280.00
2024-01-16,CW-WV,Dishwasher,14.4,244.80
2024-01-17,CW-WV,Manager,15.9,524.70
2024-01-17,CW-WV,Line Cook,44.6,1092.70
2024-01-17,CW-WV,Prep Cook,22.6,485.90
2024-01-17,CW-WV,Server,60.1,1051.75
2024-01-17,CW-WV,Busser,16.6,282.20
2024-01-17,CW-WV,Bartender,16.2,324.00
2024-01-17,CW-WV,Dishwasher,16.6,282.20
2024-01-18,CW-WV,Manager,13.9,458.70
2024-01-18,CW-WV,Line Cook,38.9,953.05
2024-01-18,CW-WV,PREP COOK,19.7,423.55
2024-01-18,CW-WV,Server,52.5,918.75
2024-01-18,CW-WV,Busser,14.5,246.50
2024-01-18,CW-WV,Bartender,14.1,282.00
